Date,Value,Type
04/29/2023,38,O3
04/30/2023,42,O3
05/01/2023,45,O3
05/02/2023,45,O3
05/03/2023,44,O3
05/04/2023,50,O3
05/05/2023,21,O3
05/06/2023,37,O3
05/07/2023,39,O3
05/08/2023,37,O3
05/09/2023,34,O3
05/10/2023,47,O3
05/11/2023,38,O3
05/12/2023,29,O3
05/13/2023,49,O3
05/14/2023,44,O3
05/15/2023,35,O3
05/16/2023,39,O3
05/17/2023,31,O3
05/18/2023,37,O3
05/19/2023,37,O3
05/20/2023,30,O3
05/21/2023,30,O3
05/22/2023,28,O3
05/23/2023,36,O3
05/24/2023,49,O3
05/25/2023,51,O3
05/26/2023,54,O3
05/27/2023,48,O3
05/28/2023,48,O3
05/29/2023,37,O3
05/30/2023,35,O3
05/31/2023,33,O3
06/01/2023,40,O3
06/02/2023,44,O3
06/03/2023,71,O3
06/04/2023,37,O3
06/05/2023,61,O3
06/06/2023,54,O3
06/07/2023,100,O3
06/08/2023,80,O3
06/09/2023,101,O3
06/10/2023,119,O3
06/11/2023,40,O3
06/12/2023,42,O3
06/13/2023,49,O3
06/14/2023,23,O3
06/15/2023,38,O3
06/16/2023,50,O3
06/17/2023,97,O3
06/18/2023,54,O3
06/19/2023,23,O3
06/20/2023,40,O3
06/21/2023,22,O3
06/22/2023,28,O3
06/23/2023,39,O3
06/24/2023,71,O3
06/25/2023,58,O3
06/26/2023,39,O3
06/27/2023,54,O3
06/28/2023,84,O3
06/29/2023,133,O3
06/30/2023,36,O3
07/01/2023,50,O3
07/02/2023,41,O3
07/03/2023,39,O3
07/04/2023,41,O3
07/05/2023,38,O3
07/06/2023,46,O3
07/07/2023,44,O3
07/08/2023,41,O3
07/09/2023,38,O3
07/10/2023,35,O3
07/11/2023,46,O3
07/12/2023,48,O3
07/13/2023,33,O3
07/14/2023,45,O3
07/15/2023,33,O3
07/16/2023,46,O3
07/17/2023,84,O3
07/18/2023,93,O3
07/19/2023,50,O3
07/20/2023,42,O3
07/21/2023,37,O3
07/22/2023,37,O3
07/23/2023,46,O3
07/24/2023,74,O3
07/25/2023,87,O3
07/26/2023,93,O3
07/27/2023,93,O3
07/28/2023,54,O3
07/29/2023,48,O3
07/30/2023,44,O3
07/31/2023,54,O3
08/01/2023,64,O3
08/02/2023,36,O3
08/03/2023,36,O3
08/04/2023,41,O3
08/05/2023,46,O3
08/06/2023,30,O3
08/08/2023,35,O3
08/09/2023,46,O3
08/10/2023,38,O3
08/11/2023,35,O3
08/12/2023,37,O3
08/13/2023,34,O3
08/14/2023,33,O3
08/15/2023,28,O3
08/16/2023,49,O3
08/17/2023,42,O3
08/18/2023,46,O3
08/19/2023,48,O3
08/20/2023,44,O3
08/21/2023,87,O3
08/22/2023,67,O3
08/23/2023,51,O3
08/24/2023,136,O3
08/25/2023,47,O3
08/26/2023,45,O3
08/27/2023,39,O3
08/28/2023,30,O3
08/29/2023,29,O3
08/30/2023,19,O3
08/31/2023,38,O3
09/01/2023,31,O3
09/02/2023,37,O3
09/03/2023,41,O3
