Date,Value,Type
2/27/23,50,PM2.5
2/28/23,66,PM2.5
3/1/23,75,PM2.5
3/2/23,27,PM2.5
3/3/23,48,PM2.5
3/4/23,13,PM2.5
3/5/23,22,PM2.5
3/6/23,71,PM2.5
3/7/23,75,PM2.5
3/8/23,46,PM2.5
3/9/23,71,PM2.5
3/10/23,54,PM2.5
3/11/23,23,PM2.5
3/12/23,43,PM2.5
3/13/23,21,PM2.5
3/14/23,27,PM2.5
3/15/23,31,PM2.5
3/16/23,70,PM2.5
3/17/23,59,PM2.5
3/18/23,18,PM2.5
3/19/23,23,PM2.5
3/20/23,32,PM2.5
3/21/23,56,PM2.5
3/22/23,68,PM2.5
3/23/23,66,PM2.5
3/24/23,63,PM2.5
3/25/23,36,PM2.5
3/26/23,36,PM2.5
3/27/23,30,PM2.5
3/28/23,46,PM2.5
3/29/23,35,PM2.5
3/30/23,53,PM2.5
3/31/23,48,PM2.5
4/1/23,36,PM2.5
4/2/23,20,PM2.5
4/3/23,49,PM2.5
4/4/23,61,PM2.5
4/5/23,49,PM2.5
4/6/23,52,PM2.5
4/7/23,40,PM2.5
4/8/23,7,PM2.5
4/9/23,19,PM2.5
4/10/23,24,PM2.5
4/11/23,35,PM2.5
4/12/23,56,PM2.5
4/13/23,40,PM2.5
4/14/23,35,PM2.5
4/15/23,53,PM2.5
4/16/23,33,PM2.5
4/17/23,26,PM2.5
4/18/23,39,PM2.5
4/19/23,54,PM2.5
4/20/23,58,PM2.5
4/21/23,53,PM2.5
4/22/23,30,PM2.5
4/23/23,30,PM2.5
4/24/23,28,PM2.5
4/25/23,66,PM2.5
4/26/23,51,PM2.5
4/27/23,32,PM2.5
4/28/23,33,PM2.5
4/29/23,43,PM2.5
4/30/23,25,PM2.5
5/1/23,21,PM2.5
5/2/23,20,PM2.5
5/3/23,19,PM2.5
5/4/23,21,PM2.5
5/5/23,35,PM2.5
5/6/23,38,PM2.5
5/7/23,40,PM2.5
5/8/23,42,PM2.5
5/9/23,56,PM2.5
5/10/23,42,PM2.5
5/11/23,52,PM2.5
5/12/23,47,PM2.5
5/13/23,43,PM2.5
5/14/23,49,PM2.5
5/15/23,44,PM2.5
5/16/23,46,PM2.5
5/17/23,38,PM2.5
5/18/23,31,PM2.5
5/19/23,35,PM2.5
5/20/23,26,PM2.5
5/21/23,22,PM2.5
5/22/23,59,PM2.5
5/23/23,65,PM2.5
5/24/23,65,PM2.5
5/25/23,58,PM2.5
5/26/23,56,PM2.5
5/27/23,23,PM2.5
5/28/23,18,PM2.5
5/29/23,26,PM2.5
5/30/23,26,PM2.5
5/31/23,41,PM2.5
6/1/23,38,PM2.5
6/2/23,41,PM2.5
6/3/23,56,PM2.5
6/4/23,56,PM2.5
6/5/23,64,PM2.5
6/6/23,62,PM2.5
6/7/23,70,PM2.5
6/8/23,74,PM2.5
6/9/23,82,PM2.5
6/10/23,81,PM2.5
6/11/23,62,PM2.5
6/12/23,37,PM2.5
6/13/23,54,PM2.5
6/14/23,30,PM2.5
6/15/23,29,PM2.5
6/16/23,41,PM2.5
6/17/23,60,PM2.5
6/18/23,79,PM2.5
6/19/23,33,PM2.5
6/20/23,35,PM2.5
6/21/23,18,PM2.5
6/22/23,18,PM2.5
6/23/23,35,PM2.5
6/24/23,55,PM2.5
6/25/23,60,PM2.5
6/26/23,38,PM2.5
6/27/23,62,PM2.5
6/28/23,68,PM2.5
6/29/23,105,PM2.5
6/30/23,101,PM2.5
7/1/23,22,PM2.5
7/2/23,48,PM2.5
7/3/23,43,PM2.5
7/4/23,61,PM2.5
7/5/23,68,PM2.5
7/6/23,45,PM2.5
7/7/23,36,PM2.5
7/8/23,38,PM2.5
7/9/23,25,PM2.5
7/10/23,23,PM2.5
7/11/23,40,PM2.5
7/12/23,44,PM2.5
7/13/23,38,PM2.5
7/14/23,32,PM2.5
7/15/23,33,PM2.5
7/16/23,53,PM2.5
7/17/23,124,PM2.5
7/18/23,134,PM2.5
7/19/23,33,PM2.5
7/20/23,54,PM2.5
7/21/23,35,PM2.5
7/22/23,35,PM2.5
7/23/23,48,PM2.5
7/24/23,46,PM2.5
7/25/23,59,PM2.5
7/26/23,62,PM2.5
7/27/23,61,PM2.5
7/28/23,60,PM2.5
7/29/23,57,PM2.5
7/30/23,39,PM2.5
7/31/23,30,PM2.5
2/1/23,1,SO2
2/2/23,1,SO2
2/3/23,1,SO2
2/4/23,1,SO2
2/5/23,1,SO2
2/6/23,1,SO2
2/7/23,1,SO2
2/8/23,1,SO2
2/9/23,1,SO2
2/10/23,1,SO2
2/11/23,1,SO2
2/12/23,1,SO2
2/13/23,2,SO2
2/14/23,2,SO2
2/15/23,1,SO2
2/16/23,1,SO2
2/17/23,1,SO2
2/18/23,1,SO2
2/19/23,1,SO2
2/20/23,1,SO2
2/21/23,1,SO2
2/22/23,1,SO2
2/23/23,1,SO2
2/24/23,1,SO2
2/25/23,1,SO2
2/26/23,1,SO2
2/27/23,1,SO2
2/28/23,1,SO2
3/1/23,1,SO2
3/2/23,1,SO2
3/3/23,1,SO2
3/4/23,1,SO2
3/5/23,1,SO2
3/6/23,1,SO2
3/7/23,1,SO2
3/8/23,1,SO2
3/9/23,1,SO2
3/10/23,1,SO2
3/11/23,1,SO2
3/12/23,1,SO2
3/13/23,1,SO2
3/14/23,1,SO2
3/15/23,1,SO2
3/16/23,1,SO2
3/17/23,1,SO2
3/18/23,1,SO2
3/19/23,1,SO2
3/20/23,1,SO2
3/21/23,2,SO2
3/22/23,1,SO2
3/23/23,1,SO2
3/24/23,1,SO2
3/25/23,1,SO2
3/26/23,1,SO2
3/27/23,1,SO2
3/28/23,1,SO2
3/29/23,1,SO2
3/30/23,1,SO2
3/31/23,1,SO2
4/1/23,1,SO2
4/2/23,4,SO2
4/3/23,1,SO2
4/4/23,1,SO2
4/5/23,1,SO2
4/6/23,1,SO2
4/7/23,1,SO2
4/8/23,1,SO2
4/9/23,1,SO2
4/10/23,1,SO2
4/11/23,1,SO2
4/12/23,1,SO2
4/13/23,1,SO2
4/14/23,1,SO2
4/15/23,1,SO2
4/16/23,2,SO2
4/17/23,1,SO2
4/18/23,2,SO2
4/19/23,1,SO2
4/20/23,1,SO2
4/21/23,1,SO2
4/22/23,1,SO2
4/23/23,1,SO2
4/24/23,1,SO2
4/25/23,1,SO2
4/26/23,1,SO2
4/27/23,1,SO2
4/28/23,1,SO2
4/29/23,1,SO2
4/30/23,1,SO2
5/1/23,1,SO2
5/2/23,1,SO2
5/3/23,1,SO2
5/4/23,1,SO2
5/5/23,1,SO2
5/6/23,1,SO2
5/7/23,1,SO2
5/8/23,1,SO2
5/9/23,1,SO2
5/10/23,1,SO2
5/11/23,1,SO2
5/12/23,1,SO2
5/13/23,1,SO2
5/14/23,1,SO2
5/15/23,1,SO2
5/16/23,1,SO2
5/17/23,1,SO2
5/18/23,1,SO2
5/19/23,1,SO2
5/20/23,1,SO2
5/21/23,1,SO2
5/22/23,1,SO2
5/23/23,1,SO2
5/24/23,1,SO2
5/25/23,1,SO2
5/26/23,1,SO2
5/27/23,1,SO2
5/28/23,1,SO2
5/29/23,1,SO2
5/30/23,1,SO2
5/31/23,1,SO2
6/1/23,1,SO2
6/2/23,1,SO2
6/3/23,1,SO2
6/4/23,1,SO2
6/5/23,1,SO2
6/6/23,1,SO2
6/7/23,1,SO2
6/8/23,1,SO2
6/9/23,1,SO2
6/10/23,1,SO2
6/11/23,1,SO2
6/12/23,1,SO2
6/13/23,1,SO2
6/14/23,1,SO2
6/15/23,1,SO2
6/16/23,1,SO2
6/17/23,1,SO2
6/18/23,1,SO2
6/19/23,1,SO2
6/20/23,1,SO2
6/21/23,1,SO2
6/22/23,1,SO2
6/23/23,1,SO2
6/24/23,1,SO2
6/25/23,1,SO2
6/26/23,1,SO2
6/27/23,1,SO2
6/28/23,1,SO2
6/29/23,1,SO2
6/30/23,1,SO2
7/1/23,1,SO2
7/2/23,1,SO2
7/3/23,1,SO2
7/4/23,1,SO2
7/5/23,1,SO2
7/6/23,1,SO2
7/7/23,1,SO2
7/8/23,1,SO2
7/9/23,1,SO2
7/10/23,1,SO2
7/11/23,1,SO2
7/12/23,1,SO2
7/13/23,1,SO2
7/14/23,1,SO2
7/15/23,1,SO2
7/16/23,1,SO2
7/17/23,1,SO2
7/18/23,5,SO2
7/19/23,1,SO2
